S&P/ASX200 - Daily,,,,,,,,,,,,,,,,,
XAO 4803.3 at 14:41 24/12/2009  Report at 15:41 Thursday 24/12/2009. Processed 15:46 Thursday 24/12/2009.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.167,0.455,0.44,ABP,Abacus Prop stpld,0.445,-1,"14,042",0.44,0.445,7.75,,-,0.62,17.42,-11.81,-
3.01,1.445,2.72,2.62,ABC,Adelaide Brighton,2.72,10,"7,058",2.68,2.72,14,f,1.49,1.15,5.15,20.8,13.1
15.79,12.83,14.14,14.04,AGK,AGL Energy Ltd,14.14,14,"3,304",14.11,14.15,54,f,6.63,6.00,3.82,358,3.9
5.91,0.60,4.69,4.63,ALS,Alesco Corp,4.68,7,552,4.63,4.69,7,f,-,0.49,1.50,-13.94,-
2.00,0.683,1.795,1.77,AWC,Alumina Ltd,1.795,1.5,"75,684",1.79,1.795,12,,0.79,1.30,6.69,9.42,19.1
6.29,3.50,6.18,6.13,AMC,Amcor Ltd,6.15,-3,"12,777",6.13,6.16,34,,0.74,1.61,5.53,25.3,24.3
6.97,3.52,6.68,6.57,AMP,AMP Ltd,6.68,,"16,393",6.63,6.68,30,p,0.99,0.67,4.49,29.6,22.6
12.70,7.51,10.83,10.73,ANN,Ansell Ltd,10.80,3,"1,318",10.70,10.80,28,,3.19,1.98,2.59,89.2,12.1
25.25,11.83,22.58,21.71,ANZ,ANZ Banking Grp,22.39,68,"63,702",22.36,22.39,102,f,1.67,10.72,4.56,170.4,13.1
3.50,2.50,3.50,3.41,APA,APA Grp stpld,3.49,9,"2,838",3.42,3.49,31,,0.52,1.18,8.88,16.2,21.5
2.61,0.866,2.33,2.27,APN,APN News & Media,2.32,5,"3,274",2.31,2.33,12,,-,-1.23,5.17,-13.1,-
7.05,3.002,7.05,6.90,AQP,Aquarius Platinum,7.00,20,"4,777",6.90,7.00,12.08,,-,-,1.73,-16.39,-
10.455,1.727,10.30,10.06,AQA,Aquila Res,10.23,23,"4,651",10.20,10.24,-,,-,-,-,-10.5,-
1.69,0.79,1.68,1.58,AAD,Ardent Leisure Grp stp,1.655,0.5,"2,735",1.62,1.655,14.3,,-,1.18,8.64,-0.32,-
5.75,3.16,4.10,4.00,ALL,Aristocrat Leisure,4.05,-6,"5,064",4.01,4.08,14.5,f,-,0.35,3.58,-0.2,-
4.73,2.05,4.02,3.97,AOE,Arrow Energy,4.00,5,"8,176",3.99,4.00,-,,-,0.82,-,52,7.7
1.79,0.32,1.78,1.75,AIO,Asciano Grp stpld,1.78,,"24,400",1.775,1.78,23,,-,-1.41,12.92,-32.5,-
37.90,23.52,34.95,34.52,ASX,ASX Ltd,34.75,22,"2,204",34.50,34.94,164.9,f,1.11,2.66,4.75,183.2,19.0
2.10,0.77,1.87,1.81,AGO,Atlas Iron Ltd,1.87,6,"9,199",1.855,1.87,-,,-,-,-,-21.3,-
5.95,1.855,4.50,4.39,AAX,Ausenco Ltd,4.45,-3,"1,533",4.43,4.45,18.5,f,2.38,0.76,4.16,43.94,10.1
2.00,1.16,1.495,1.455,AAC,Aust Agriculture,1.475,-1.5,"1,714",1.455,1.475,-,,-,2.55,-,-25.7,-
1.93,0.991,1.74,1.705,AIX,Aust Infra unt,1.74,3.5,"4,296",1.72,1.745,13,,2.03,3.14,7.47,26.33,6.6
1.465,0.65,1.45,1.41,AUN,Austar United,1.435,1,"7,108",1.395,1.44,-,,-,-0.33,-,-2.4,-
0.585,0.174,0.515,0.505,ALZ,Australand Prop stpld,0.515,1,"8,590",0.51,0.515,8,,-,0.92,15.53,-15.55,-
2.26,1.415,1.845,1.785,AVO,Avoca Res,1.845,7,"2,755",1.84,1.845,-,,-,0.61,-,-6.97,-
2.20,0.592,1.12,1.095,AWB,AWB Ltd,1.12,2,"13,706",1.115,1.125,5,,3.70,1.81,4.46,18.5,6.1
3.06,2.11,2.74,2.70,AWE,AWE Ltd,2.73,2,"6,425",2.71,2.73,-,,-,1.80,-,17.36,15.7
6.56,2.52,6.56,6.48,AXA,AXA Asia Pacific,6.56,8,"38,587",6.50,6.56,18.5,p,-,0.96,2.82,-7.39,-
13.49,6.228,11.30,11.16,BOQ,Bank of Qld,11.30,8,"1,693",11.26,11.30,52,f,1.46,6.62,4.60,75.9,14.9
0.956,0.678,0.90,0.88,BPT,Beach Energy Ltd,0.895,,"13,153",0.89,0.895,1.75,p,14.41,-,1.96,25.21,3.6
11.515,5.733,9.39,9.07,BEN,Bendigo & Adelaide,9.39,30,"5,987",9.18,9.40,43,f,0.60,4.03,4.58,25.6,36.7
42.65,26.64,42.65,42.35,BHP,BHP Billiton Ltd,42.47,55,"44,801",42.46,42.47,113.63,f,1.15,8.84,2.68,130.15,32.6
12.19,5.815,10.80,10.61,BBG,Billabong Intl,10.70,1,"2,300",10.60,10.77,45,p,1.54,0.70,4.21,69.2,15.5
3.336,0.303,2.48,2.44,BTA,Biota Hldgs,2.44,,"2,830",2.44,2.46,-,,-,0.55,-,21.7,11.2
3.48,1.675,3.01,2.92,BSL,BlueScope Steel,2.96,-2,"63,332",2.96,2.97,5,,-,2.46,1.69,-7.1,-
0.375,0.054,0.355,0.335,BLY,Boart Longyear,0.355,1.5,"275,297",0.35,0.355,2.87,,2.38,-0.10,8.08,6.84,5.2
6.40,2.29,5.74,5.66,BLD,Boral Ltd,5.71,4,"4,547",5.71,5.72,13,f,1.85,4.12,2.28,24.1,23.7
7.55,0.945,6.60,6.48,BKN,Bradken Ltd,6.60,12,"3,158",6.54,6.60,23,f,2.28,1.31,3.48,52.5,12.6
8.37,4.08,6.81,6.65,BXB,Brambles Ltd,6.80,5,"19,787",6.78,6.81,30,p,1.34,0.58,4.41,40.18,16.9
