Weekly Roundup - ASX Dividends Declared,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-09-14T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Issuer Name,Security Description,ASX Code,IFQ 1,Div 2,ETD 3,YTD Div ,Frank%,DRP 4,BSP 5,PY Interim,PY Final,Ex Date,Books Close,Payable,,,,,,,,,
1300 Smiles,ordinary,ONT,F,8.5,-,18.5,100,-,-,8.6,9.2,30 Sep,4 Oct,9 Oct,0,,
AP Eagers,ordinary,APE,I,8.0,-,8.0,100,4,-,7.0,-,11 Sep,17 Sep,4 Oct,0,,
Academies A'asia,ordinary,AKG,F,2.5,-,5.0,100,-,-,2.0,2.5,6 Sep,12 Sep,26 Sep,0,,
Acrux,ordinary,ACR,F,8.0,-,8.0,-,-,-,-,8.0,3 Sep,9 Sep,23 Sep,0,,
Adelaide Brighton,ordinary,ABC,I,7.5,-,7.5,100,4,-,7.5,-,28 Aug,3 Sep,9 Oct,0,,
AGL Energy,ordinary,AGK,F,33.0,-,63.0,100,3,-,29.0,32.0,2 Sep,6 Sep,27 Sep,0,,
Agricultural Land,ordinary units,AGJ,F,2.82,-,2.82,-,3,-,-,3.18,25 Jun,1 Jul,27 Sep,0,,
Ainsworth Game Tech,ordinary,AGI,F,5.0,-,8.0,-,-,-,-,-,4 Sep,10 Sep,27 Sep,0,,
Air New Zealand,ordinary,AIZ,F,4.3063,-,6.7374,-,4,-,1.3272,2.319,9 Sep,13 Sep,23 Sep,0,,
Alliance Aviation,ordinary,AQZ,F,5.6,-,10.4,100,4,-,-,5.6,11 Sep,17 Sep,10 Oct,0,,
Altium,ordinary,ALU,F,8.0,-,11.0,-,-,-,-,5.0,30 Sep,4 Oct,28 Oct,0,,
Amalgamated Hldgs,ordinary,AHD,F,27.0,-,42.0,100,4,-,14.0,25.0,30 Aug,5 Sep,19 Sep,0,,
Amcom Telco,ordinary,AMM,F,3.5,-,5.5,100,-,-,1.8,3.2,13 Sep,19 Sep,4 Oct,0,,
Amcor,ordinary,AMC,F,20.5,-,40.0,-,3,-,18.0,19.0,2 Sep,6 Sep,30 Sep,0,,
AMP,ordinary,AMP,I,11.5,-,11.5,70.00,3,-,12.5,-,2 Sep,6 Sep,11 Oct,0,,
Ansell,ordinary,ANN,F,22.0,-,38.0,-,-,-,15.0,20.5,30 Aug,5 Sep,26 Sep,0,,
ANZ Banking Grp,pref share cps2,ANZPA,Q1,102.63,-,102.63,100,-,-,341.25,112.3,26 Aug,30 Aug,16 Sep,0,,
ANZ Banking Grp,pref share cps1,ANZPB,Q1,92.16,-,92.16,100,-,-,309.84,101.48,26 Aug,30 Aug,16 Sep,0,,
ANZ Banking Grp,pref share cps3,ANZPC,I,197.5,-,197.5,100,-,-,227.2,-,10 Feb,14 Feb,3 Mar,0,,
ANZ Banking Grp,cap note,ANZPD,I,237.75,-,237.75,100,-,-,-,-,17 Feb,21 Feb,3 Mar,0,,
ARB Corp,ordinary,ARP,F,15.5,-,28.0,100,4,4,11.0,14.0,30 Sep,4 Oct,18 Oct,0,,
Ariadne Aust,ordinary,ARA,F,0.5,-,1.0,20.00,-,-,0.5,0.5,5 Sep,11 Sep,4 Oct,0,,
Arrium Ltd,ordinary,ARI,F,3.0,-,5.0,-,3,-,-,3.0,9 Sep,13 Sep,17 Oct,0,,
Asciano,ordinary,AIO,F,6.25,-,11.5,100,4,-,3.5,4.0,30 Aug,5 Sep,18 Sep,0,,
ASX,ordinary,ASX,F,82.3,-,170.2,100,4,-,92.8,85.1,2 Sep,6 Sep,25 Sep,0,,
Atlas Iron,ordinary,AGO,F,3.0,-,3.0,-,3,-,-,-,2 Sep,6 Sep,20 Sep,0,,
Aurizon Hldgs Ltd,ordinary,AZJ,F,8.2,-,12.3,90.00,-,-,-,-,2 Sep,6 Sep,23 Sep,0,,
Ausdrill,ordinary,ASL,F,5.5,-,12.0,100,4,-,6.5,8.0,30 Sep,4 Oct,18 Oct,0,,
Ausenco,ordinary,AAX,I,2.0,-,2.0,-,4,-,10.0,-,29 Aug,4 Sep,18 Sep,0,,
Aust Vintage,ordinary,AVG,F,2.6,-,2.6,100,4,-,-,2.6,2 Sep,6 Sep,18 Nov,0,,
Austbrokers Hldgs,ordinary,AUB,F,24.5,-,35.5,100,3,-,9.5,21.5,27 Sep,3 Oct,24 Oct,0,,
Austin Engineer,ordinary,ANG,F,10.5,-,15.0,100,-,-,3.5,10.5,27 Aug,2 Sep,11 Oct,0,,
Austock Grp,ordinary,ACK,F,1.0,-,2.0,100,-,-,-,-,11 Sep,17 Sep,1 Oct,0,,
Aust Enhanced,units,AYF,Q1,10.0,-,10.0,23.90,3,-,33.75,11.25,24 Sep,30 Sep,14 Oct,1,,
Aust Ethical,ordinary,AEF,F,45.0,-,85.0,100,4,-,25.0,35.0,10 Sep,16 Sep,4 Oct,0,,
Aust Infrastructure Fd,ordinary,AIX,F,0.3,-,5.8,100,4,-,5.0,5.5,10 Oct,16 Oct,22 Oct,0,,
Aust Leaders Fund,ordinary,ALF,F,6.0,-,12.0,100,3,-,5.0,6.0,15 Oct,21 Oct,28 Oct,0,,
Aust United Invest,ordinary,AUI,F,16.0,-,29.5,100,3,-,13.0,15.0,23 Aug,29 Aug,25 Sep,0,,
Automotive Hldgs,ordinary,AHE,F,12.0,-,20.0,100,-,-,7.0,11.0,10 Sep,16 Sep,2 Oct,0,,
BC Iron,ordinary,BCI,F,30.0,-,35.0,100,-,-,-,15.0,3 Sep,9 Sep,24 Sep,0,,
