S&P/ASX300 - Daily,,,,,,,,,,,,,,,,,
XAO 4577.6 at 16:40 3/9/2010  Report at 19:05 Friday 3/9/2010. Processed 17:32 Sunday 5/9/2010.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
52 Week High,52 Week Low,Day's High,Day's Low,ASX Code,Company Name,Last Sale,+ or -,Vol 100's,Quote Buy,Quote Sell,Div ¢ per share,Franked Div,Div Times cov'd,Net Tangible Assets,Div yield %,Earn share ¢,P/E ratio
0.48,0.34,0.43,0.42,ABP,Abacus Prop stp,0.43,,"28,746",0.425,0.43,3.9,,0.39,0.58,9.07,1.53,28.1
2.60,1.41,2.09,2.04,ACR,Acrux Ltd,2.09,1,683,2.04,2.09,-,,-,-,-,29.08,7.2
3.435,2.293,3.31,3.26,ABC,Adelaide Brighton,3.28,,"14,082",3.28,3.29,15.5,f,1.52,1.16,4.73,23.6,13.9
1.65,0.62,0.99,0.95,ABY,Aditya Birla,0.99,2.5,"6,806",0.95,0.99,-,,-,1.51,-,19.61,5.0
15.69,13.37,15.48,15.35,AGK,AGL Energy Ltd,15.40,6,"13,925",15.31,15.45,59,,1.34,5.89,3.83,79.3,19.4
5.60,1.82,1.925,1.85,AJL,AJ Lucas Grp,1.88,-2,685,1.85,1.88,5.5,,-,1.19,2.93,-11,-
5.91,2.25,2.88,2.75,ALS,Alesco Corp,2.87,3,"1,571",2.82,2.87,7,,-,0.60,2.44,-132.84,-
0.865,0.28,0.33,0.305,AGS,Alliance Res,0.315,1,"3,471",0.305,0.315,-,,-,-,-,-1.97,-
2.06,1.45,1.82,1.755,AWC,Alumina Ltd,1.815,4,"486,747",1.81,1.815,4.23,f,0.14,1.22,2.33,0.59,307.6
7.04,5.27,6.88,6.74,AMC,Amcor Ltd,6.80,-2,"29,283",6.78,6.81,29.5,,0.54,1.49,4.34,15.8,43.0
6.97,4.85,5.21,5.16,AMP,AMP Ltd,5.21,6,"161,226",5.20,5.21,31,p,1.28,0.90,5.95,39.8,13.1
13.73,9.07,13.49,13.25,ANN,Ansell Ltd,13.43,19,"5,709",13.15,13.45,30.5,,2.94,2.22,2.27,89.6,15.0
26.23,19.95,23.52,23.14,ANZ,ANZ Banking Grp,23.29,-14,"81,398",23.29,23.30,108,f,1.34,9.99,4.64,144.8,16.1
3.99,2.93,3.99,3.78,APA,APA Grp stp,3.89,13,"27,669",3.88,3.92,32.75,,0.59,1.28,8.42,19.4,20.1
2.61,1.68,1.94,1.905,APN,APN News & Media,1.925,2,"24,722",1.90,1.98,9,,1.86,-0.75,4.68,16.7,11.5
7.95,3.89,5.26,5.14,AQP,Aquarius Platinum,5.17,17,"15,418",5.02,5.19,2.26,,3.16,-,0.44,7.15,72.3
11.38,6.009,8.93,8.79,AQA,Aquila Res,8.87,2,"2,184",8.70,8.90,-,,-,-,-,-14.8,-
1.285,0.38,0.765,0.745,ARU,Arafura Resource,0.75,,"7,201",0.745,0.755,-,,-,-,-,-5.1,-
1.845,0.92,1.02,1.00,AAD,Ardent Leisure stp,1.01,,"7,185",1.00,1.015,10.75,,0.59,0.92,10.64,6.3,16.0
5.75,3.34,3.87,3.63,ALL,Aristocrat Leisure,3.64,-19,"16,018",3.63,3.70,3.5,,-,0.15,0.96,-15,-
1.94,1.435,1.73,1.70,AIO,Asciano Grp stp,1.72,2,"143,989",1.705,1.73,-,,-,0.08,-,-31.6,-
0.575,0.42,0.475,0.46,APZ,Aspen Grp stp,0.465,-0.5,"7,629",0.46,0.47,4.2,,0.54,0.66,9.03,2.25,20.7
0.515,0.28,0.31,0.30,AJA,Astro Jap Prop stp,0.305,,"23,080",0.305,0.31,7,,-,0.64,22.95,-22.02,-
37.16,28.02,29.49,29.30,ASX,ASX Ltd,29.36,4,"8,838",29.34,29.40,173.1,f,1.10,3.49,5.90,190.4,15.4
3.05,1.585,2.22,2.17,AGO,Atlas Iron Ltd,2.20,,"25,226",2.18,2.20,-,,-,-,-,-9.6,-
2.34,1.455,1.965,1.90,ASL,Ausdrill Ltd,1.90,-7,"5,499",1.90,1.925,11,f,2.16,1.78,5.79,23.71,8.0
5.95,1.71,2.45,2.36,AAX,Ausenco Ltd,2.44,9,"6,387",2.41,2.45,4.5,,-,0.50,1.84,-10.35,-
1.69,1.22,1.595,1.555,AAC,Aust Agriculture,1.58,-1.5,"1,870",1.555,1.58,-,,-,-,-,-13.4,-
2.09,1.50,1.93,1.89,AIX,Aust Infra unt,1.925,1.5,"18,023",1.89,1.925,10,p,3.32,2.61,5.19,33.22,5.8
0.939,0.365,0.44,0.43,API,Aust Pharmaceutical,0.44,1,"4,882",0.425,0.44,3,f,2.03,0.79,6.82,6.1,7.2
3.07,1.935,2.24,2.20,ASB,Austal Ltd,2.22,-1,"2,083",2.20,2.25,6,f,3.38,1.41,2.70,20.3,10.9
1.465,0.84,0.905,0.865,AUN,Austar United,0.875,-1.5,"38,602",0.875,0.90,-,,-,-0.28,-,3.5,25.0
3.05,2.20,2.92,2.86,ALZ,Australand Prop stp,2.86,-4,"3,166",2.75,2.87,12,,1.24,3.44,4.20,14.9,19.2
