Warrants Market - Daily,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 17:59 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
AIOUMA,2.00,27/05/10,1:1,0.062,0.065,-,-,-,,,,
AMP Ltd Last Sale Price $6.26,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.10,0.105,0.14,-,-,,,,
AMPWOD,6.75,27/05/10,3:1,0.049,0.054,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $25.29,,,,,,,,,,,,
ANZWOA,23.50,29/04/10,4:1,0.445,0.455,0.47,-4,600,,,,
ANZVZA,24.00,29/04/10,4:1,0.495,0.525,0.215,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.165,0.175,0.185,-4.5,500,,,,
ANZVME,26.00,29/04/10,3:1,0.145,0.15,0.13,-4,610,,,,
ANZWOC,26.50,29/04/10,4:1,0.031,0.036,0.05,-,-,,,,
ANZUMA,23.00,27/05/10,4:1,0.65,0.655,-,-,-,,,,
ANZUMB,25.00,27/05/10,4:1,0.28,0.285,-,-,-,,,,
ANZUMC,27.00,27/05/10,4:1,0.08,0.083,-,-,-,,,,
ANZVZB,27.50,27/05/10,4:1,0.09,0.12,-,-,-,,,,
ANZWOF,19.00,24/06/10,4:1,1.465,1.47,1.11,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.60,0.80,0.675,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.495,0.50,-,-,-,,,,
ANZWOE,24.50,24/06/10,4:1,0.365,0.37,0.365,-,100,,,,
ANZWMB,26.00,24/06/10,4:1,0.225,0.23,-,-,-,,,,
ANZWMH,26.00,23/09/10,4:1,0.405,0.41,0.415,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.225,0.23,-,-,-,,,,
ASX Ltd Last Sale Price $33.89,,,,,,,,,,,,
ASXVME,35.00,29/04/10,4:1,0.12,0.125,-,-,-,,,,
ASXUMA,37.00,27/05/10,4:1,0.086,0.09,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $43.95,,,,,,,,,,,,
BHPWOA,36.00,29/04/10,4:1,1.965,1.975,1.295,-,-,,,,
BHPWOB,38.50,29/04/10,4:1,1.355,1.36,1.235,-,-,,,,
BHPWOG,40.50,29/04/10,4:1,0.885,0.89,0.86,-,-,,,,
BHPVME,41.00,29/04/10,4:1,0.885,0.90,0.99,-,-,,,,
BHPWOH,43.50,29/04/10,4:1,0.33,0.335,0.38,-0.5,1000,,,,
BHPVZC,46.00,29/04/10,4:1,0.40,0.43,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.095,0.10,0.12,1.5,4277,,,,
BHPUMA,42.00,27/05/10,4:1,0.805,0.82,-,-,-,,,,
BHPUMB,44.00,27/05/10,4:1,0.505,0.515,-,-,-,,,,
BHPVZD,45.00,27/05/10,4:1,0.505,0.535,-,-,-,,,,
BHPUMC,46.00,27/05/10,4:1,0.28,0.29,-,-,-,,,,
BHPWOJ,37.50,24/06/10,4:1,1.81,1.815,1.76,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,1.48,1.485,-,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,1.075,1.08,1.215,-,-,,,,
BHPWMA,43.00,24/06/10,4:1,0.80,0.815,-,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.705,0.71,0.70,-,-,,,,
