Warrants Market - Daily,,,,,,,,,,,,
XAO 4651.1 at 16:35 26/2/2010  Report at 19:05 Friday 26/2/2010. Processed 19:55 Friday 26/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.94,,,,,,,,,,,,
AMPWOC,6.25,27/05/10,3:1,0.135,0.14,0.14,-,-,,,,
AMPWOD,6.75,27/05/10,3:1,0.077,0.082,0.069,-,-,,,,
ANZ Banking Grp Last Sale Price $23.14,,,,,,,,,,,,
ANZVMA,22.00,25/03/10,3:1,0.505,0.545,0.33,-,-,,,,
ANZWZJ,23.00,25/03/10,4:1,0.15,0.18,-,-,-,,,,
ANZVMB,24.00,25/03/10,3:1,0.17,0.19,0.285,-,-,,,,
ANZWZI,24.00,25/03/10,4:1,0.081,0.095,-,-,-,,,,
ANZWOA,23.50,29/04/10,4:1,0.225,0.23,0.18,3.5,700,,,,
ANZVZA,24.00,29/04/10,4:1,0.28,0.31,0.215,-,-,,,,
ANZWOB,25.00,29/04/10,4:1,0.105,0.11,0.035,-,-,,,,
ANZVME,26.00,29/04/10,3:1,0.135,0.15,0.05,-,-,,,,
ANZWOC,26.50,29/04/10,4:1,0.041,0.046,0.041,-,-,,,,
ANZWOF,19.00,24/06/10,4:1,1.07,1.085,0.95,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.405,0.42,-,-,-,,,,
ANZWOE,24.50,24/06/10,4:1,0.255,0.265,-,-,-,,,,
ASX Ltd Last Sale Price $36.46,,,,,,,,,,,,
ASXVMA,37.00,25/03/10,4:1,0.155,0.17,0.835,-,-,,,,
ASXVMB,39.00,25/03/10,4:1,0.049,0.056,-,-,-,,,,
ASXVME,40.00,29/04/10,4:1,0.093,0.105,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $41.10,,,,,,,,,,,,
BHPVMA,37.00,25/03/10,4:1,1.02,1.065,1.00,2,100,,,,
BHPVZA,42.00,25/03/10,4:1,-,-,0.42,-,-,,,,
BHPVMB,43.00,25/03/10,4:1,0.15,0.17,-,-,-,,,,
BHPVZB,44.00,25/03/10,4:1,0.21,0.24,-,-,-,,,,
BHPWOA,36.00,29/04/10,4:1,1.515,1.385,1.295,-8,30,,,,
BHPWOB,38.50,29/04/10,4:1,1.025,0.89,1.075,-,-,,,,
BHPWOG,40.50,29/04/10,4:1,0.57,0.575,0.58,-,-,,,,
BHPVME,41.00,29/04/10,4:1,0.615,0.64,0.80,-,-,,,,
BHPWOH,43.50,29/04/10,4:1,0.245,0.26,0.25,2.5,1350,,,,
BHPVZC,44.00,29/04/10,4:1,0.555,0.585,-,-,-,,,,
BHPWOI,46.00,29/04/10,4:1,0.16,0.235,0.135,-,-,,,,
BHPWOJ,37.50,24/06/10,4:1,1.37,1.515,-,-,-,,,,
BHPWOK,39.00,24/06/10,4:1,1.26,1.265,-,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.95,0.955,0.79,-,7,,,,
BHPWOM,43.00,24/06/10,4:1,0.68,0.685,-,-,-,,,,
BHPVOD,45.00,24/06/10,4:1,0.50,0.505,-,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,0.36,0.365,-,-,-,,,,
BlueScope Steel Last Sale Price $2.42,,,,,,,,,,,,
BSLWOB,2.75,25/03/10,2:1,0.021,0.026,-,-,-,,,,
BSLVMA,3.00,25/03/10,2:1,0.001,-,0.15,-,-,,,,
BSLWOA,3.00,25/03/10,2:1,0.009,0.014,0.014,-1.3,2000,,,,
BSLWOD,2.50,24/06/10,2:1,0.15,0.155,-,-,-,,,,
BSLWOC,3.00,24/06/10,2:1,0.063,0.068,-,-,-,,,,
Brambles Ltd Last Sale Price $6.94,,,,,,,,,,,,
BXBWOA,7.00,24/06/10,4:1,0.145,0.15,-,-,-,,,,
BXBWOB,7.75,24/06/10,4:1,0.082,0.087,-,-,-,,,,
C'wlth Bank  of Aust  Last Sale Price $53.92,,,,,,,,,,,,
CBAVMA,53.00,25/03/10,5:1,0.46,0.535,0.52,-,-,,,,
CBAVZL,53.00,25/03/10,5:1,-,-,0.475,-,-,,,,
