Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4360.7 at 2012-03-23T16:37:03. Report at Friday, March 23, 2012. Processed Saturday at 2012-03-24T01:00:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $22.74,
ANZWOA,19.00,29/03/12,4:1,.95,.955,,,,,
ANZWOB,21.00,29/03/12,4:1,.455,.46,,,,,
ANZWRA,22.00,29/03/12,4:1,.19,,,,,,
ANZVMA,23.00,29/03/12,4:1,.026,.03,,,,,
ANZWOC,23.00,29/03/12,4:1,.061,.066,,,,,
ANZWRB,23.00,29/03/12,4:1,.025,,,,,,
ANZWOK,25.00,29/03/12,4:1,.011,.021,,,,,
ANZVMB,26.00,29/03/12,4:1,.001,,,,,,
ANZVOF,21.00,26/04/12,4:1,.52,.525,,,,,
ANZWRC,22.52,26/04/12,4:1,.17,.175,,,,,
ANZVOI,23.00,26/04/12,4:1,.18,.185,.14,,,,
ANZWRD,23.52,26/04/12,4:1,.051,.054,,,,,
ANZVOH,25.00,26/04/12,4:1,.037,.042,,,,,
ANZVMC,21.00,24/05/12,4:1,.44,.465,,,,,
ANZWOF,21.00,24/05/12,4:1,.47,.475,,,,,
ANZVMD,23.00,24/05/12,4:1,.125,.15,.11,,,,
ANZWOL,23.00,24/05/12,4:1,.195,.20,,,,,
ANZWOM,25.00,24/05/12,4:1,.063,.068,,,,,
ANZWRE,22.51,27/06/12,4:1,.215,.225,,,,,
ANZWRF,23.02,27/06/12,4:1,.155,.16,,,,,
ANZWRG,23.52,27/06/12,4:1,.105,.115,,,,,
ANZVME,21.00,28/06/12,4:1,.495,.52,,,,,
ANZVMF,23.00,28/06/12,4:1,.20,.225,,,,,
ANZVMG,22.00,26/07/12,4:1,.385,.41,,,,,
ANZVMH,24.00,26/07/12,4:1,.15,.175,,,,,
,
BHP Billiton Last Sale Price $34.40,
BHPWOI,34.00,29/03/12,4:1,.22,.225,.32,,,,
BHPWOJ,36.00,29/03/12,4:1,.046,.051,.24,,,,
BHPWRA,36.00,29/03/12,4:1,.001,,.07,,,,
BHPWRB,37.50,29/03/12,4:1,.001,,.05,,,,
BHPWOC,38.00,29/03/12,4:1,.017,.022,.051,,,,
BHPWOD,40.00,29/03/12,4:1,.01,.02,.02,,,,
BHPWOE,42.00,29/03/12,4:1,,,,,,,
BHPWOF,44.00,29/03/12,4:1,,,,,,,
BHPVOF,34.00,26/04/12,4:1,.46,.465,.425,-9,200,,
BHPVOG,36.00,26/04/12,4:1,.22,.225,.22,-4,150,,
BHPWRC,36.52,26/04/12,4:1,.076,.077,,,,,
BHPVMA,38.00,26/04/12,4:1,.026,.049,.032,-8.3,150,,
BHPVOH,38.00,26/04/12,4:1,.086,.091,.11,,,,
BHPWRD,38.52,26/04/12,4:1,.013,.04,,,,,
BHPVOI,40.00,26/04/12,4:1,.034,.039,,,,,
BHPVMB,42.00,26/04/12,4:1,.001,,,,,,
BHPVMC,34.00,24/05/12,4:1,.515,.54,,,,,
BHPWOK,34.00,24/05/12,4:1,.625,.63,.59,-21,30,,
BHPVMD,36.00,24/05/12,4:1,.26,.285,.30,,,,
BHPWOG,36.00,24/05/12,4:1,.38,.385,.505,,,,
BHPWOH,38.00,24/05/12,4:1,.21,.215,.205,,50,,
BHPWOL,40.00,24/05/12,4:1,.105,.11,,,,,
BHPWRE,36.51,27/06/12,4:1,.28,.285,,,,,
BHPWRF,37.51,27/06/12,4:1,.195,.20,,,,,
BHPWRG,38.51,27/06/12,4:1,.125,.135,,,,,
BHPVME,34.00,28/06/12,4:1,.66,.685,.64,,300,,
BHPVMF,36.00,28/06/12,4:1,.395,.42,,,,,
BHPVMG,35.00,26/07/12,4:1,.63,.655,.775,,,,
BHPVMH,37.00,26/07/12,4:1,.40,.425,.455,,,,
,
C'wlth Bank of Aust Last Sale Price $49.16,
CBAWOK,48.00,29/03/12,5:1,.325,.33,.30,,,,
CBAWOL,50.00,29/03/12,5:1,.10,.105,.14,,,,
CBAWRA,50.50,29/03/12,4:1,.001,,.205,,,,
CBAVMA,52.00,29/03/12,4:1,.001,.03,.05,,,,
CBAWOM,52.00,29/03/12,5:1,.017,.027,,,,,
CBAWRB,52.00,29/03/12,4:1,,,.045,,,,
CBAWON,54.00,29/03/12,5:1,.011,.021,,,,,
CBAVMB,55.00,29/03/12,4:1,.001,,,,,,
CBAVOF,49.00,26/04/12,5:1,.405,.41,.38,,,,
CBAWRC,50.52,26/04/12,4:1,.11,.115,.105,-1.5,100,,
CBAVOI,51.00,26/04/12,5:1,.215,.22,.20,,,,
CBAVOH,53.00,26/04/12,5:1,.10,.105,,,,,
CBAWRD,53.02,26/04/12,4:1,.011,.04,,,,,
CBAVMC,47.00,24/05/12,4:1,.845,.87,,,,,
CBAVMD,49.00,24/05/12,4:1,.505,.53,,,,,
CBAWOF,49.00,24/05/12,5:1,.555,.56,,,,,
CBAWOA,51.00,24/05/12,5:1,.355,.36,.355,-1,100,,
CBAWOB,53.00,24/05/12,5:1,.21,.215,,,,,
CBAWRE,50.51,27/06/12,4:1,.385,.385,,,,,
CBAWRF,51.51,27/06/12,4:1,.27,.27,,,,,
CBAWRG,53.02,27/06/12,4:1,.145,.15,,,,,
CBAVME,47.00,28/06/12,4:1,1.01,1.035,,,,,
CBAVMF,49.00,28/06/12,4:1,.675,.70,,,,,
CBAVMG,48.00,26/07/12,4:1,.955,.98,,,,,
CBAVMH,50.00,26/07/12,4:1,.655,.68,,,,,
,
Fortescue Metals Grp Last Sale Price $6.00,
FMGWOB,5.25,29/03/12,3:1,.265,.27,.18,,,,
FMGWRA,5.50,29/03/12,2:1,.25,,.11,,,,
FMGWOE,5.75,29/03/12,3:1,.115,.12,,,,,
FMGWRB,5.75,29/03/12,2:1,.14,,.195,,,,
FMGWOA,6.25,29/03/12,3:1,.033,.038,,,,,
FMGVOF,5.50,26/04/12,3:1,.235,.24,.23,,,,
FMGWRC,5.77,26/04/12,2:1,.21,.22,,,,,
FMGVOG,6.00,26/04/12,3:1,.135,.14,.17,,,,
FMGWRD,6.27,26/04/12,2:1,.087,.091,.077,-5.3,690,,
FMGWOF,5.50,24/05/12,3:1,.275,.28,,,,,
FMGVMA,6.00,24/05/12,2:1,.21,.235,,,,,
FMGWOJ,6.00,24/05/12,3:1,.18,.185,,,,,
FMGWRE,5.76,27/06/12,2:1,.315,.325,,,,,
FMGWRF,6.01,27/06/12,2:1,.245,.255,,,,,
FMGWRG,6.26,27/06/12,2:1,.185,.195,,,,,
FMGVMB,6.00,28/06/12,2:1,.275,.30,,,,,
