Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 4742.9 at 2013-01-04T16:45:35. Report at Friday, January 4, 2013. Processed Saturday at 2013-01-05T01:00:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $25.26,
ANZVMB,24.50,24/01/13,4:1,.23,.255,.21,,,,
ANZVMA,25.50,24/01/13,4:1,.074,.097,.058,,,,
ANZVRB,26.00,24/01/13,4:1,.051,.053,,,,,
ANZVRC,24.00,21/02/13,4:1,.395,.40,,,,,
ANZVRD,25.00,21/02/13,4:1,.20,.205,.195,,,,
ANZWOG,25.00,21/02/13,4:1,.315,.32,.305,,,,
ANZWOH,27.00,21/02/13,4:1,.11,.115,.14,,,,
ANZVRI,23.00,27/03/13,4:1,.655,.66,,,,,
ANZVMC,25.00,27/03/13,4:1,.285,.31,,,,,
ANZVRK,27.00,27/03/13,4:1,.085,.086,,,,,
ANZWOI,24.50,23/04/13,4:1,.55,.555,,,,,
ANZWOJ,26.50,23/04/13,4:1,.295,.30,,,,,
,
BHP Billiton Last Sale Price $37.91,
BHPVMA,34.00,24/01/13,4:1,1.005,1.05,.73,,,,
BHPVMB,36.00,24/01/13,4:1,.55,.58,.415,,,,
BHPVRB,36.00,24/01/13,4:1,.525,.545,,,,,
BHPVRC,38.00,24/01/13,4:1,.175,.19,.18,+.5,320,,
BHPWOK,33.00,21/02/13,4:1,1.325,1.33,.715,,,,
BHPVRD,34.00,21/02/13,4:1,1.045,1.065,,,,,
BHPVRE,35.00,21/02/13,4:1,.825,.845,,,,,
BHPWOL,35.00,21/02/13,4:1,.915,.92,,,,,
BHPWOJ,37.00,21/02/13,4:1,.575,.58,.61,,,,
BHPVMC,34.50,27/03/13,4:1,.95,.975,.935,+46,50,,
BHPVRF,37.00,27/03/13,4:1,.455,.475,,,,,
BHPVRG,40.00,27/03/13,4:1,.145,.155,.15,-2,175,,
BHPWOM,36.00,23/04/13,4:1,.925,.93,,,,,
BHPWON,38.00,23/04/13,4:1,.66,.665,.62,,,,
BHPWOO,40.00,23/04/13,4:1,.455,.46,,,,,
,
Brambles Last Sale Price $7.69,
BXBVMA,7.00,24/01/13,2:1,.345,.375,,,,,
BXBVMB,7.50,27/03/13,2:1,.22,.245,,,,,
,
C'wlth Bank of Aust Last Sale Price $63.25,
CBAVMB,58.00,24/01/13,4:1,1.35,1.38,,,,,
CBAVMA,59.50,24/01/13,4:1,.995,1.025,.675,,,,
CBAVRB,60.00,24/01/13,4:1,.86,.885,.57,,,,
CBAWOG,56.00,21/02/13,5:1,1.245,1.25,,,,,
CBAWOH,59.00,21/02/13,5:1,.78,.785,,,,,
CBAVRD,61.00,21/02/13,4:1,.52,.54,,,,,
CBAVRC,62.00,21/02/13,4:1,.385,.40,.30,,,,
CBAWCA,58.00,27/03/13,4:1,1.185,1.21,,,,,
CBAVMC,59.00,27/03/13,4:1,1.07,1.095,,,,,
CBAWCB,60.00,27/03/13,4:1,.81,.83,.685,,,,
CBAWCC,62.00,27/03/13,4:1,.52,.545,,,,,
CBAWRC,63.00,27/03/13,4:1,.415,.435,,,,,
CBAWRD,65.00,27/03/13,4:1,.245,.255,,,,,
CBAWOI,61.00,23/04/13,5:1,.835,.84,,,,,
CBAWOJ,63.00,23/04/13,5:1,.64,.645,,,,,
,
Fortescue Metals Grp Last Sale Price $4.86,
FMGVMA,4.00,24/01/13,2:1,.42,.46,.165,,,,
FMGVRD,4.50,24/01/13,2:1,.19,,.275,,,,
FMGVRF,3.50,21/02/13,2:1,.685,.695,,,,,
FMGWOG,3.50,21/02/13,3:1,.48,.485,.20,,,,
FMGVRE,4.00,21/02/13,2:1,.45,.46,,,,,
FMGWOH,4.50,21/02/13,3:1,.215,.22,.135,,,,
FMGVMB,4.40,27/03/13,2:1,.335,.36,.35,+13.5,77,,
FMGWRD,4.50,27/03/13,2:1,.285,.295,,,,,
FMGWRC,5.00,27/03/13,2:1,.16,.165,,,,,
FMGWOI,4.50,23/04/13,3:1,.275,.28,,,,,
FMGWOJ,5.00,23/04/13,3:1,.195,.20,,,,,
,
Iluka Res Last Sale Price $9.29,
ILUVRC,10.50,24/01/13,3:1,.008,,.037,,,,
ILUVRE,9.00,21/02/13,3:1,.255,.265,.24,,,,
ILUWRF,8.00,27/03/13,3:1,.485,.495,,,,,
ILUWRG,10.00,27/03/13,3:1,.15,.155,,,,,
,
Macquarie Grp Last Sale Price $35.72,
MQGVRA,32.00,24/01/13,4:1,.915,,.74,,,,
MQGWOG,31.00,21/02/13,4:1,1.31,1.315,,,,,
MQGVRB,33.00,21/02/13,4:1,.825,.825,,,,,
MQGWOH,33.00,21/02/13,4:1,.915,.92,.945,,,,
MQGWRC,34.00,27/03/13,4:1,.74,.735,.655,,,,
MQGWRD,36.00,27/03/13,4:1,.43,.43,,,,,
MQGWOI,34.00,23/04/13,4:1,1.065,1.07,,,,,
MQGWOJ,36.00,23/04/13,4:1,.81,.815,,,,,
,
National Aust Bank Last Sale Price $25.31,
NABVRB,23.00,24/01/13,4:1,.585,.595,,,,,
NABVMB,24.00,24/01/13,4:1,.33,.36,,,,,
NABVMA,26.00,24/01/13,4:1,.032,.055,.059,,,,
NABVRC,24.00,21/02/13,4:1,.395,.405,,,,,
NABVRD,25.00,21/02/13,4:1,.215,.225,,,,,
NABWOG,25.00,21/02/13,4:1,.315,.32,.315,+.5,150,,
NABWOH,27.00,21/02/13,4:1,.105,.11,.115,,,,
NABVMC,25.00,27/03/13,4:1,.295,.32,.089,,,,
NABWRC,26.00,27/03/13,4:1,.16,.17,,,,,
