Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5105.4 at 2013-05-03T16:48:05. Report at Friday, May 3, 2013. Processed Saturday at 2013-05-04T01:00:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $31.60,
ANZVRF,29.00,30/05/13,4:1,.49,,.16,,,,
ANZVRJ,28.00,27/06/13,4:1,.81,.825,,,,,
ANZVRH,30.00,27/06/13,4:1,.435,.445,,,,,
ANZWMA,30.00,27/06/13,4:1,.42,.445,,,,,
ANZWOL,30.00,27/06/13,4:1,.45,.455,.435,,,,
ANZWOK,33.00,27/06/13,4:1,.115,.12,,,,,
ANZVRB,31.00,25/07/13,4:1,.35,.36,,,,,
ANZWMB,31.00,26/09/13,4:1,.47,.495,,,,,
,
BHP Billiton Last Sale Price $31.97,
BHPWMA,33.00,30/05/13,4:1,.145,.175,.075,,,,
BHPVRK,37.00,30/05/13,4:1,,,.047,,,,
BHPVRJ,39.00,30/05/13,4:1,.001,,.008,,,,
BHPWOA,33.00,27/06/13,4:1,.38,.385,.495,,,,
BHPVRM,34.00,27/06/13,4:1,.215,.22,,,,,
BHPWOB,35.00,27/06/13,4:1,.19,.195,.22,,,,
BHPVRN,36.00,27/06/13,4:1,.078,.08,.077,,,,
BHPWOC,37.00,27/06/13,4:1,.083,.088,.084,-5.1,65,,
BHPVRB,30.00,25/07/13,4:1,.815,.825,,,,,
BHPVRC,33.00,25/07/13,4:1,.385,.395,,,,,
BHPWMB,39.00,26/09/13,4:1,.09,.115,.115,,,,
,
C'wlth Bank of Aust Last Sale Price $71.06,
CBAVRF,71.00,30/05/13,4:1,.515,.52,.585,,80,,
CBAVRI,67.00,27/06/13,4:1,1.385,1.39,,,,,
CBAVRH,70.00,27/06/13,4:1,.87,.875,,,,,
CBAWMA,71.00,27/06/13,4:1,.705,.73,,,,,
CBAWOL,72.00,27/06/13,5:1,.56,.565,,,,,
CBAWOK,75.00,27/06/13,5:1,.33,.335,,,,,
CBAVRB,73.00,25/07/13,4:1,.625,.63,,,,,
CBAWMB,74.00,26/09/13,4:1,.585,.61,.77,-.5,216,,
,
Fortescue Metals Grp Last Sale Price $3.41,
FMGVRA,5.50,30/05/13,2:1,.001,,.03,,,,
FMGWOL,3.25,27/06/13,3:1,.16,.165,,,,,
FMGWOK,3.75,27/06/13,3:1,.078,.083,.115,,,,
FMGVRD,4.50,27/06/13,2:1,.018,.03,,,,,
FMGVRH,5.00,27/06/13,2:1,.005,.03,,,,,
FMGVRE,4.00,25/07/13,2:1,.083,.084,,,,,
,
Iluka Res Last Sale Price $9.26,
ILUVRF,12.00,30/05/13,3:1,.001,,.033,,,,
ILUVRC,9.00,27/06/13,3:1,.255,.27,,,,,
