Warrants Market - Daily,,,,,,,,,,,,
XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:06 Friday 18/6/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Volume 100s,,,,
Equity Call Warrants ,,,,,,,,,,,,
AMP Ltd Last Sale Price $5.61,,,,,,,,,,,,
AMPWOA,6.00,23/09/10,3:1,0.077,0.082,0.082,-,-,,,,
AMPWOB,6.50,23/09/10,3:1,0.038,0.043,-,-,-,,,,
ANZ Banking Grp Last Sale Price $23.14,,,,,,,,,,,,
ANZUMD,20.00,24/06/10,4:1,0.78,-,0.69,-,-,,,,
ANZUMF,20.00,24/06/10,4:1,0.78,-,0.495,-,-,,,,
ANZUME,22.00,24/06/10,4:1,0.315,-,0.19,-,-,,,,
ANZUMG,22.00,24/06/10,4:1,0.31,-,-,-,-,,,,
ANZWOD,23.00,24/06/10,4:1,0.087,0.135,0.135,-,-,,,,
ANZUMH,24.00,24/06/10,4:1,0.041,-,-,-,-,,,,
ANZVZC,24.00,24/06/10,4:1,0.045,0.05,-,-,-,,,,
ANZWMA,24.00,24/06/10,4:1,0.044,-,0.083,-,-,,,,
ANZWOE,24.50,24/06/10,4:1,0.002,0.012,0.017,-,-,,,,
ANZWMB,26.00,24/06/10,4:1,0.001,-,0.08,-,-,,,,
ANZWOF,26.00,24/06/10,4:1,-,0.064,0.064,-,-,,,,
ANZWOG,22.50,23/09/10,4:1,0.565,0.575,0.58,2.5,150,,,,
ANZWOH,24.50,23/09/10,4:1,0.295,0.335,0.325,-3,300,,,,
ANZWMH,26.00,23/09/10,4:1,0.195,0.205,0.195,-,-,,,,
ANZWOI,26.50,23/09/10,4:1,0.16,0.165,0.17,-,-,,,,
ANZWMI,28.00,23/09/10,4:1,0.093,0.098,0.095,-,-,,,,
ASX Ltd Last Sale Price $30.60,,,,,,,,,,,,
ASXUMB,32.00,23/09/10,4:1,0.26,0.275,-,-,-,,,,
ASXUMC,35.00,23/09/10,4:1,0.074,0.079,0.086,-,-,,,,
AXA Asia Pacific Last Sale Price $5.72,,,,,,,,,,,,
AXAWSA,0.00,25/03/20,1:1,-,-,-,-,-,,,,
BHP Billiton Ltd Last Sale Price $39.13,,,,,,,,,,,,
BHPUMD,32.00,24/06/10,4:1,1.775,-,1.56,-,-,,,,
BHPUME,36.00,24/06/10,4:1,0.785,-,0.73,-,-,,,,
BHPWOJ,38.00,24/06/10,4:1,0.27,0.28,0.365,7.5,2556,,,,
BHPWOK,39.00,24/06/10,4:1,0.15,0.175,0.18,4.5,5548,,,,
BHPUMF,40.00,24/06/10,4:1,0.10,-,0.14,-,-,,,,
BHPVZE,40.00,24/06/10,4:1,0.125,0.15,0.13,-,-,,,,
BHPWOL,41.00,24/06/10,4:1,0.007,0.03,0.017,-,-,,,,
BHPWMA,43.00,24/06/10,4:1,0.001,0.011,0.04,-,-,,,,
BHPWOM,43.00,24/06/10,4:1,0.001,-,0.001,-0.2,200,,,,
BHPVOD,45.00,24/06/10,4:1,-,-,0.001,-,-,,,,
BHPWMB,45.00,24/06/10,4:1,0.001,-,0.048,-,-,,,,
BHPVOE,47.00,24/06/10,4:1,-,-,0.001,-,-,,,,
BHPUMG,48.00,24/06/10,4:1,-,-,-,-,-,,,,
BHPWOC,35.00,26/08/10,4:1,1.30,1.305,1.175,-,-,,,,
BHPWOD,37.50,26/08/10,4:1,0.865,0.94,0.70,-,-,,,,
BHPWOE,39.50,26/08/10,4:1,0.565,0.57,0.63,5,850,,,,
BHPWOF,41.00,26/08/10,4:1,0.41,0.465,0.29,-,-,,,,
BHPWON,43.00,26/08/10,4:1,0.24,0.245,0.21,-,-,,,,
BHPWOO,45.00,26/08/10,4:1,0.14,0.17,0.165,0.5,80,,,,
