Warrants Market,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5023.8 at 2013-07-26T16:44:05. Report at Friday, July 26, 2013. Processed Saturday at 2013-07-27T01:00:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
ANZ Banking Grp Last Sale Price $29.41,
ANZVRC,28.00,29/08/13,4:1,.465,.47,.41,,,,
ANZWOM,27.00,26/09/13,4:1,.78,.785,.59,,,,
ANZVRA,28.00,26/09/13,4:1,.535,.54,.435,,,,
ANZWON,29.00,26/09/13,4:1,.44,.445,.41,,,,
ANZWMB,31.00,26/09/13,4:1,.095,.145,.125,+1,400,,
ANZVMA,29.00,24/10/13,4:1,.42,.445,,,,,
ANZVMB,31.00,19/12/13,4:1,.23,.255,.26,,,,
,
Arena REIT Last Sale Price $1.04,
ARFWCA,0.50,26/09/13,1:1,.55,.56,.535,,,,
ARFWCB,0.60,26/09/13,1:1,.455,.465,,,,,
,
BHP Billiton Last Sale Price $34.60,
BHPVRD,35.00,29/08/13,4:1,.29,.295,,,,,
BHPVRE,38.00,29/08/13,4:1,.074,.076,.071,,,,
BHPVRA,32.00,26/09/13,4:1,.755,.76,.745,,,,
BHPWOD,33.00,26/09/13,4:1,.665,.67,.70,,,,
BHPVRF,35.00,26/09/13,4:1,.32,.33,,,,,
BHPWOE,35.00,26/09/13,4:1,.40,.405,.40,,,,
BHPWOF,37.00,26/09/13,4:1,.22,.225,.12,,,,
BHPWMB,39.00,26/09/13,4:1,.041,.066,.055,,,,
BHPVMA,32.00,24/10/13,4:1,.815,.84,,,,,
BHPVMB,34.00,19/12/13,4:1,.67,.695,.675,,,,
,
C'wlth Bank of Aust Last Sale Price $73.65,
CBAVRC,69.00,29/08/13,4:1,1.00,.995,.34,,,,
CBAVRA,67.00,26/09/13,4:1,1.535,1.53,,,,,
CBAWON,72.00,26/09/13,5:1,.69,.695,.84,,,,
CBAWMB,74.00,26/09/13,4:1,.455,.48,.38,,,,
CBAWOM,76.00,26/09/13,5:1,.375,.38,,,,,
CBAVMA,69.00,24/10/13,4:1,1.27,1.295,,,,,
CBAVMB,71.00,19/12/13,4:1,1.24,1.265,,,,,
,
